Company,Address,Lat,Long
Adobe,"345 Park Avenue, San Jose, CA 95110",37.3319°N,121.8934°W
Synopsys,"690 East Middlefield Road, Mountain View, CA 94043",37.3903°N,122.0511°W
Intuit,"2700 Coast Avenue, Mountain View, CA 94043",37.4265°N,122.0809°W
Autodesk,"111 McInnis Parkway, San Rafael, CA 94903",38.0266°N,122.5311°W
eGain,"1252 Borregas Avenue, Sunnyvale, CA 94089",37.4043°N,122.0176°W
Netflix,"100 Winchester Circle, Los Gatos, CA 95032",37.2594°N,121.9630°W
Salesforce,"415 Mission Street, San Francisco, CA 94105",37.7897°N,122.3965°W
Fortinet,"899 Kifer Road, Sunnyvale, CA 94086",37.3788°N,122.0145°W
Guidewire Software,"2850 S Delaware Street, San Mateo, CA 94403",37.5399°N,122.2993°W
Palo Alto Networks,"3000 Tannery Way, Santa Clara, CA 95054",37.3875°N,121.9636°W
Qualys,"919 E Hillsdale Boulevard, Foster City, CA 94404",37.5585°N,122.2711°W
ServiceNow,"2225 Lawson Lane, Santa Clara, CA 95054",37.3876°N,121.9736°W
Workday,"6110 Stoneridge Mall Road, Pleasanton, CA 94588",37.6936°N,121.9289°W
Marin Software,"123 Mission Street, San Francisco, CA 94105",37.7911°N,122.3969°W
RingCentral,"20 Davis Drive, Belmont, CA 94002",37.5213°N,122.2758°W
Five9,"3001 Bishop Drive, San Ramon, CA 94583",37.7658°N,121.9641°W
Box,"900 Jefferson Avenue, Redwood City, CA 94063",37.4848°N,122.2307°W
Livongo,"150 W Evelyn Avenue, Mountain View, CA 94041",37.3947°N,122.0760°W
Twilio,"101 Spear Street, San Francisco, CA 94105",37.7917°N,122.3917°W
Okta,"100 First Street, San Francisco, CA 94105",37.7890°N,122.3949°W
DocuSign,"221 Main Street, San Francisco, CA 94105",37.7898°N,122.3942°W
Dropbox,"1800 Owens Street, San Francisco, CA 94158",37.7693°N,122.3875°W
Elastic NV,"800 West El Camino Real, Mountain View, CA 94040",37.3861°N,122.0839°W
Eventbrite,"155 5th Street, San Francisco, CA 94103",37.7817°N,122.4058°W
LiveRamp,"225 Bush Street, San Francisco, CA 94104",37.7908°N,122.4015°W
Zscaler,"120 Holger Way, San Jose, CA 95134",37.4143°N,121.9524°W
Zuora,"101 Redwood Shores Parkway, Redwood City, CA 94065",37.5331°N,122.2486°W
BILL Holdings,"6220 Stoneridge Mall Road, Pleasanton, CA 94588",37.6936°N,121.9289°W
Cloudflare,"101 Townsend Street, San Francisco, CA 94107",37.7800°N,122.3905°W
CrowdStrike,"150 Mathilda Place, Sunnyvale, CA 94086",37.3781°N,122.0307°W
Fastly,"475 Brannan Street, San Francisco, CA 94107",37.7786°N,122.3969°W
PagerDuty,"600 Townsend Street, San Francisco, CA 94103",37.7739°N,122.4035°W
Zoom,"55 Almaden Boulevard, San Jose, CA 95113",37.3330°N,121.8943°W
Asana,"633 Folsom Street, San Francisco, CA 94107",37.7840°N,122.3967°W
C3 AI,"1300 Seaport Boulevard, Redwood City, CA 94063",37.5331°N,122.2486°W
JFrog,"270 E Caribbean Drive, Sunnyvale, CA 94089",37.4108°N,122.0146°W
PubMatic,"3 Lagoon Drive, Redwood City, CA 94065",37.5326°N,122.2646°W
Snowflake,"106 East Babcock Street, Bozeman, MT 59715",45.6795°N,111.0332°W
Amplitude,"631 Howard Street, San Francisco, CA 94105",37.7866°N,122.3986°W
AppLovin,"1100 Page Mill Road, Palo Alto, CA 94304",37.4143°N,122
